ET0010447	Debre Eba
ET0010448	Walga
ET0010449	Nib Halal Adama
ET0010450	Merawi
ET0010451	Fasilo
ET0010452	Nefas Mewcha
ET0010453	Nib Halal Kibet
ET0010454	Arbaminch Gebeya
ET0010455	Adare
ET0010456	Kebena
ET0010457	Melka Rafu
ET0010458	Dembel Corporate
ET0010459	Limu Genet
ET0010460	Bambasi
ET0010461	Kasete Birhan
ET0010462	Ansho
ET0010463	Negele Borena
ET0010464	Dembidolo
ET0010465	Damota
ET0010466	Goba
ET0010467	Kefira Branch
ET0010468	Sabian Gulit Branch
ET0010469	Tarcha Branch
ET0010470	Bati Branch
ET0010471	Kemise Branch
ET0010472	Gelila Branch
ET0010473	Semera Branch
ET0010474	Sabian Meskelegna
ET0010475	Werka Branch
ET0010476	Goro Bale Branch
ET0010477	Agarfa Branch
ET0010478	Nib Ethio-Emawa
ET0010479	Bozheber Branch
ET0010480	Adwa Branch
ET0010481	Hawelti Branch
ET0010482	Edaga Hamus Branch
ET0010483	Gelimeshira Branch
ET0010484	Nib Halal Dessie
ET0010485	Woleshe Branch
ET0010486	Mendi Branch
ET0010487	Masha Branch
